日期,操作,品牌,材质,颜色,S,M,L,XL,2XL,3XL,4XL,5XL,备注
2026-07-13,扣减,Haloo,180g,黑,0,216,216,72,0,0,0,1200,黑白短袖出库
2026-07-13,扣减,Men's,160g,黑,0,3000,3600,300,2500,0,2500,0,黑白短袖出库
2026-07-13,扣减,SK,160g,黑,0,0,0,0,0,0,100,0,黑白短袖出库
2026-07-13,扣减,T64,160g,白,0,2240,2660,70,0,840,0,0,黑白短袖出库
2026-07-13,扣减,Haloo,CVC,黑,1800,4248,2520,6264,2232,1080,648,0,黑白短袖出库
